,accession,has_S
0,WP_003751803.1,0
1,WP_118997230.1,0
2,WP_196428072.1,0
3,sp|Q84HD6.1|AMYS_NEIME,0
4,WP_025456983.1,0
5,pdb|1G5A|A,0
6,pdb|1MVY|A,0
7,pdb|3UEQ|A,0
8,WP_107863895.1,0
9,WP_107819638.1,0
10,WP_118820303.1,0
11,pdb|1JGI|A,0
12,pdb|4FLR|A,0
13,pdb|4FLS|A,0
14,pdb|4FLQ|A,0
15,pdb|4FLO|A,0
16,pdb|5N6V|A,0
17,WP_118792230.1,0
18,pdb|5N7J|A,0
19,WP_070695597.1,0
20,WP_107737442.1,0
21,MBF1278863.1,0
22,WP_070647130.1,0
23,WP_004520597.1,0
24,WP_070837897.1,0
25,WP_063075717.1,0
26,WP_049344812.1,0
27,WP_101755457.1,0
28,WP_036490796.1,0
29,WP_003746833.1,0
30,WP_188213966.1,0
31,MBF1350092.1,0
32,WP_070765497.1,0
33,WP_070826256.1,0
34,VTY05848.1,0
35,WP_070814054.1,0
36,WP_049349784.1,0
37,WP_063069011.1,0
38,WP_150537367.1,0
39,WP_049323224.1,0
40,WP_108699937.1,0
41,WP_107857064.1,0
42,WP_003679220.1,0
43,WP_188211705.1,0
44,WP_070850482.1,0
45,WP_070587669.1,0
46,WP_107867385.1,0
47,WP_114926186.1,0
48,WP_150540476.1,0
49,WP_188209710.1,0
50,WP_070734817.1,0
51,MBF1301630.1,0
52,EER57152.1,0
53,WP_070460704.1,0
54,WP_070843443.1,0
55,WP_070712914.1,0
56,WP_070585340.1,0
57,WP_049336122.1,0
58,WP_128581993.1,0
59,WP_107697047.1,0
60,MBF1287335.1,0
61,WP_107769370.1,0
62,WP_107723217.1,0
63,WP_107848767.1,0
64,MBF1278130.1,0
65,WP_049333850.1,0
66,WP_107792025.1,0
67,WP_070625303.1,0
68,WP_049328338.1,0
69,WP_070591289.1,0
70,MBF1282375.1,0
71,WP_060974389.1,0
72,WP_009311500.1,0
73,EGQ77289.1,0
74,WP_107842954.1,0
75,WP_039862925.1,0
76,WP_036491954.1,0
77,WP_049231138.1,0
78,WP_070680294.1,0
79,EIG29204.1,0
80,WP_080613974.1,0
81,WP_049227885.1,0
82,WP_203026504.1,0
83,MBF1294322.1,0
84,WP_039407260.1,0
85,WP_107826199.1,0
86,MBF1291829.1,0
87,WP_040668843.1,0
88,EET43598.1,0
89,WP_049227119.1,0
90,VTX50006.1,0
91,WP_165007935.1,0
92,WP_095502747.1,0
93,WP_165088438.1,0
94,WP_123803679.1,0
95,WP_096295239.1,0
96,KIC08099.1,0
97,WP_070689047.1,0
98,WP_045074367.1,0
99,WP_106742213.1,0
100,VTX79816.1,0
101,WP_070538739.1,0
102,WP_070773699.1,0
103,WP_101810667.1,0
104,WP_123794505.1,0
105,WP_070492521.1,0
106,WP_066076332.1,0
107,OHR40124.1,0
108,WP_070655869.1,0
109,OHR43505.1,0
110,WP_070603044.1,0
111,WP_039855958.1,0
112,OFM98359.1,0
113,WP_107977004.1,0
114,WP_123805896.1,0
115,WP_019270138.1,0
116,WP_070514980.1,0
117,WP_016688094.1,0
118,WP_107812955.1,0
119,WP_089035080.1,0
120,MBF1286552.1,0
121,MBF1265402.1,0
122,WP_009173319.1,0
123,KJJ14438.1,0
124,WP_020395193.1,0
125,TXH69610.1,0
126,WP_078921153.1,0
127,WP_189490323.1,0
128,WP_116607541.1,0
129,WP_201492321.1,0
130,ACB35580.1,0
131,WP_127996339.1,0
132,WP_043704407.1,0
133,WP_137894689.1,0
134,NYG33689.1,0
135,WP_046114521.1,0
136,WP_179636149.1,0
137,WP_092762119.1,0
138,NOT99509.1,0
139,MBF1247195.1,0
140,MBF1257432.1,0
141,WP_198812679.1,0
142,WP_136610519.1,0
143,EFV94469.1,0
144,WP_197721601.1,0
145,WP_083799634.1,0
146,WP_194637578.1,0
147,RKW47554.1,0
148,WP_137367841.1,0
149,WP_104117213.1,0
150,MBF1237676.1,0
151,WP_086461042.1,0
152,WP_159801241.1,0
153,WP_085486657.1,0
154,WP_199276486.1,0
155,WP_130483368.1,0
156,WP_051631524.1,0
157,WP_133402516.1,0
158,RJU00205.1,0
159,RZS51951.1,0
160,WP_149504224.1,0
161,WP_104139101.1,0
162,WP_152812209.1,0
163,WP_084605872.1,0
164,WP_173804339.1,0
165,WP_078715498.1,0
166,WP_104278026.1,0
167,KQR22484.1,0
168,WP_055768356.1,0
169,WP_082495794.1,0
170,WP_147782907.1,0
171,WP_138415476.1,0
172,WP_132542727.1,0
173,WP_026549211.1,0
174,WP_055898544.1,0
175,AMM31830.1,0
176,GAP37951.1,0
177,WP_197284739.1,0
178,WP_125095767.1,0
179,WP_104179230.1,0
180,RKV79052.1,0
181,MUK01693.1,0
182,WP_159616343.1,0
183,WP_055947539.1,0
184,WP_066502056.1,0
185,WP_043440818.1,0
186,WP_028269345.1,0
187,NQX12848.1,0
188,WP_078029327.1,0
189,WP_130284277.1,0
190,WP_182489477.1,0
191,KQM58009.1,0
192,RZT58206.1,0
193,WP_156144148.1,0
194,WP_082466162.1,0
195,WP_196880940.1,0
196,KHL02569.1,0
197,WP_055930247.1,0
198,WP_104120225.1,0
199,WP_202563538.1,0
200,WP_125133278.1,0
201,NQX26899.1,0
202,WP_104166212.1,0
203,QHO69714.1,0
204,WP_108252850.1,0
205,WP_128226989.1,0
206,WP_066261876.1,0
207,WP_056426950.1,0
208,WP_018770020.1,0
209,WP_087029836.1,0
210,WP_115788660.1,0
211,WP_130484464.1,0
212,WP_161887446.1,0
213,WP_185203996.1,0
214,MBC7592159.1,0
215,WP_056391894.1,0
216,WP_144600123.1,0
217,WP_141159107.1,0
218,WP_169077854.1,0
219,BAU32945.1,0
220,WP_134165032.1,0
221,WP_096422458.1,0
222,WP_152605610.1,0
223,WP_056626993.1,0
224,KGM11272.1,0
225,WP_163474384.1,0
226,WP_043481337.1,0
227,PYG75794.1,0
228,WP_142070535.1,0
229,WP_109045528.1,0
230,WP_175316834.1,0
231,WP_110542160.1,0
232,WP_056546814.1,0
233,WP_157365241.1,0
234,WP_079549517.1,0
235,WP_024477196.1,0
236,WP_087076718.1,0
237,WP_026264356.1,0
238,APX04080.1,0
239,WP_137322657.1,0
240,WP_116778474.1,0
241,NBO77056.1,0
242,WP_104999882.1,0
243,WP_141182638.1,0
244,WP_144670094.1,0
245,NUP59435.1,0
246,WP_066289268.1,0
247,WP_138444098.1,0
248,WP_074586068.1,0
249,WP_120522317.1,0
250,WP_104172882.1,0
251,WP_157240566.1,0
252,AUZ87673.1,0
253,TQJ59358.1,0
254,WP_142132379.1,0
255,WP_133831904.1,0
256,WP_159630234.1,0
257,WP_141945413.1,0
258,WP_055806052.1,0
259,WP_138610458.1,0
260,GHG53926.1,0
261,WP_011691876.1,0
262,VXC39414.1,0
263,WP_049822890.1,0
264,WP_003805464.1,0
265,WP_189694333.1,0
266,WP_163167649.1,0
267,MBG6191774.1,0
268,MBA4247086.1,0
269,WP_142041011.1,0
270,WP_028276797.1,0
271,WP_202802710.1,0
272,WP_079595327.1,0
273,WP_196867680.1,0
274,WP_148599268.1,0
275,WP_111902571.1,0
276,WP_142029300.1,0
277,WP_091248009.1,0
278,ASN53838.1,0
279,WP_043453623.1,0
280,WP_087873388.1,0
281,WP_102974302.1,0
282,WP_156929974.1,0
283,WP_091423916.1,0
284,WP_090577570.1,0
285,WP_120149474.1,0
286,WP_115523592.1,0
287,WP_138135316.1,0
288,SCC04436.1,0
289,WP_197075039.1,0
290,WP_090587048.1,0
291,WP_058267957.1,0
292,SDI42482.1,0
293,WP_120692993.1,0
294,WP_142063442.1,0
295,WP_179873942.1,0
296,WP_050053297.1,0
297,WP_190609175.1,0
298,WP_018772802.1,0
299,WP_056331038.1,0
300,MBK5265900.1,0
301,WP_013602643.1,0
302,WP_142118117.1,0
303,WP_139030730.1,0
304,AXJ11004.1,0
305,WP_067948247.1,0
306,WP_104043589.1,0
307,WP_122936046.1,0
308,WP_188572054.1,0
309,WP_116765790.1,0
310,WP_196842196.1,0
311,WP_191152018.1,0
312,WP_077489299.1,0
313,WP_131134550.1,0
314,WP_104186607.1,0
315,MBR21769.1,0
316,WP_152583791.1,0
317,WP_015938755.1,0
318,WP_133767173.1,0
319,WP_183321860.1,0
320,WP_026552373.1,0
321,WP_108597576.1,0
322,MBB5617143.1,0
323,WP_174176271.1,0
324,WP_066281189.1,0
325,WP_191035467.1,0
326,WP_138137958.1,0
327,GGH96979.1,0
328,WP_106562579.1,0
329,WP_188812114.1,0
330,WP_171619494.1,0
331,WP_190612647.1,0
332,WP_045730706.1,0
333,WP_026536679.1,0
334,WP_019998128.1,0
335,WP_100824127.1,0
336,WP_105032843.1,0
337,WP_104049440.1,0
338,WP_076658274.1,0
339,WP_172989004.1,0
340,GGI89089.1,0
341,WP_116416127.1,0
342,WP_188731118.1,0
343,WP_133205564.1,0
344,WP_153983097.1,0
345,EFC88315.1,0
346,WP_091723601.1,0
347,WP_052022747.1,0
348,VXC27945.1,0
349,WP_171584446.1,0
350,WP_155050468.1,0
351,WP_159829483.1,0
352,WP_110278983.1,0
353,WP_129234096.1,0
354,WP_146898862.1,0
355,WP_102977725.1,0
356,WP_104339659.1,0
357,WP_154345469.1,0
358,WP_104327462.1,0
359,WP_104250198.1,0
360,NRD08449.1,0
361,WP_104257288.1,0
362,WP_104317475.1,0
363,WP_159913410.1,0
364,HAP91375.1,0
365,BBE23535.1,0
366,HDV38450.1,0
367,WP_104262675.1,0
368,WP_104267042.1,0
369,WP_104313671.1,0
370,WP_155840232.1,0
371,KQB97880.1,0
372,WP_104337376.1,0
373,WP_104233293.1,0
374,WP_120950486.1,0
375,QIE43884.1,0
376,WP_104308162.1,0
377,WP_104283845.1,0
378,WP_104326809.1,0
379,WP_104350268.1,0
380,WP_104352722.1,0
381,WP_159906361.1,0
382,WP_104304287.1,0
383,WP_104280738.1,0
384,KQY25645.1,0
385,WP_179434725.1,0
386,WP_124090935.1,0
387,HHY56900.1,0
388,WP_104277638.1,0
389,WP_104238190.1,0
390,WP_133347640.1,0
391,WP_104256184.1,0
392,WP_104295214.1,0
393,WP_104345863.1,0
394,WP_104325830.1,0
395,WP_159941132.1,0
396,SNU01052.1,0
397,WP_104272768.1,0
398,WP_104328584.1,0
399,WP_104287983.1,0
400,WP_055860216.1,0
401,WP_104226980.1,0
402,WP_104268763.1,0
403,WP_104323780.1,0
404,WP_160036153.1,0
405,WP_104263828.1,0
406,WP_157453852.1,0
407,WP_089993766.1,0
408,WP_104319233.1,0
409,WP_082485444.1,0
410,TCS62834.1,0
411,OCT55055.1,0
412,KQQ07946.1,0
413,WP_104351557.1,0
414,SMH46856.1,0
415,WP_061972734.1,0
416,WP_104247831.1,0
417,WP_056081307.1,0
418,GEL97090.1,0
419,WP_194396555.1,0
420,WP_068210765.1,0
421,WP_091707741.1,0
422,WP_104338313.1,0
423,MBC7723656.1,0
424,XP_007784561.1,0
425,WP_129588063.1,0
426,WP_144833906.1,0
427,WP_104223577.1,0
428,WP_127046079.1,0
429,HAJ38284.1,0
430,WP_179439263.1,0
431,WP_107575512.1,0
432,WP_062114416.1,0
433,WP_186813258.1,0
434,MBI5160817.1,0
435,WP_188912577.1,0
436,WP_146844798.1,0
437,OOB89413.1,0
438,WP_077224292.1,0
439,WP_104261199.1,0
440,WP_158872856.1,0
441,MBK7203912.1,0
442,WP_116284449.1,0
443,WP_097166560.1,0
444,STX07257.1,0
445,KQR16262.1,0
446,WP_082481575.1,0
447,WP_132245560.1,0
448,WP_119481328.1,0
449,WP_162459632.1,0
450,TQN38875.1,0
451,XP_009159535.1,0
452,HGT16762.1,0
453,EYT55545.1,0
454,WP_042734523.1,0
455,GEO95626.1,0
456,VEI51510.1,0
457,KQQ19317.1,0
458,WP_062737004.1,0
459,XP_008727702.1,0
460,MBI3241893.1,0
461,MBK9229433.1,0
462,WP_116418298.1,0
463,WP_187698312.1,0
464,WP_104318250.1,0
465,WP_109243592.1,0
466,KQS97152.1,0
467,WP_081656887.1,0
468,WP_203189426.1,0
469,WP_154097491.1,0
470,WP_181137025.1,0
471,WP_053004757.1,0
472,WP_200941649.1,0
473,WP_056042588.1,0
474,KLU10843.1,0
475,WP_082494925.1,0
476,WP_068252082.1,0
477,WP_173235285.1,0
478,MBK6430734.1,0
479,WP_050686329.1,0
480,WP_159986679.1,0
481,GEO91862.1,0
482,WP_173287717.1,0
483,WP_058859683.1,0
484,PPI56401.1,0
485,WP_204162145.1,0
486,WP_104259546.1,0
487,MWV49372.1,0
488,TCL81554.1,0
489,ROP43030.1,0
490,TDX76637.1,0
491,WP_127887172.1,0
492,WP_123737769.1,0
493,ROQ03122.1,0
