,accession,y_hmm,y_dp
1,WP_003751803.1 amylosucrase [Neisseria polysaccharea],1,1
2,WP_118997230.1 amylosucrase [Neisseria polysaccharea],1,1
3,WP_196428072.1 amylosucrase [Neisseria polysaccharea],1,1
4,sp|Q84HD6.1|AMYS_NEIME RecName: Full=Amylosucrase,1,1
5,WP_025456983.1 amylosucrase [Neisseria polysaccharea],1,1
6,"pdb|1G5A|A Chain A, AMYLOSUCRASE",1,1
7,"pdb|1MVY|A Chain A, amylosucrase",1,1
8,"pdb|3UEQ|A Chain A, Amylosucrase",1,1
9,WP_107863895.1 amylosucrase [Neisseria polysaccharea],1,1
10,WP_107819638.1 amylosucrase [Neisseria bergeri],1,1
11,WP_118820303.1 amylosucrase [Neisseria bergeri],1,1
12,"pdb|1JGI|A Chain A, amylosucrase",1,1
13,"pdb|4FLR|A Chain A, Amylosucrase",1,1
14,"pdb|4FLS|A Chain A, Amylosucrase",1,1
15,"pdb|4FLQ|A Chain A, Amylosucrase",1,1
16,"pdb|4FLO|A Chain A, Amylosucrase",1,1
17,"pdb|5N6V|A Chain A, Amylosucrase",1,1
18,WP_118792230.1 amylosucrase [Neisseria bergeri],1,1
19,"pdb|5N7J|A Chain A, Amylosucrase",1,1
20,WP_070695597.1 amylosucrase [Neisseria sp. HMSC068C12],1,1
21,WP_107737442.1 amylosucrase [Neisseria subflava],1,1
22,MBF1278863.1 amylosucrase [Neisseria lactamica],1,1
23,WP_070647130.1 amylosucrase [Neisseria sp. HMSC073G10],1,1
24,WP_004520597.1 MULTISPECIES: amylosucrase [Neisseria],1,1
25,WP_070837897.1 amylosucrase [Neisseria sp. HMSC066H01],1,1
26,WP_063075717.1 amylosucrase [Neisseria flavescens],1,1
27,WP_049344812.1 MULTISPECIES: amylosucrase [Neisseria],1,1
28,WP_101755457.1 amylosucrase [Neisseria perflava],1,1
29,WP_036490796.1 amylosucrase [Neisseria mucosa],1,1
30,WP_003746833.1 MULTISPECIES: amylosucrase [Neisseria],1,1
31,WP_188213966.1 amylosucrase [Neisseria sp. KH1003-02],1,1
32,MBF1350092.1 amylosucrase [Neisseria lactamica],1,1
33,WP_070765497.1 amylosucrase [Neisseria sp. HMSC065C04],1,1
34,WP_070826256.1 alpha-amylase family protein [Neisseria sp. HMSC064D07],1,1
35,VTY05848.1 Amylosucrase [Neisseria subflava],1,1
36,WP_070814054.1 MULTISPECIES: amylosucrase [unclassified Neisseria],1,1
37,WP_049349784.1 MULTISPECIES: amylosucrase [Neisseria],1,1
38,WP_063069011.1 amylosucrase [Neisseria flavescens],1,1
39,WP_150537367.1 amylosucrase [Neisseria flavescens],1,1
40,WP_049323224.1 amylosucrase [Neisseria meningitidis],1,1
41,WP_108699937.1 alpha-amylase family protein [Neisseria subflava],1,1
42,WP_107857064.1 amylosucrase [Neisseria subflava],1,1
43,WP_003679220.1 amylosucrase [Neisseria flavescens],1,1
44,WP_188211705.1 amylosucrase [Neisseria sp. RH3002v2g],1,1
45,WP_070850482.1 amylosucrase [Neisseria sp. HMSC078C12],1,1
46,WP_070587669.1 amylosucrase [Neisseria sp. HMSC058F07],1,1
47,WP_107867385.1 amylosucrase [Neisseria subflava],1,1
48,WP_114926186.1 amylosucrase [Neisseria subflava],1,1
49,WP_150540476.1 amylosucrase [Neisseria flavescens],1,1
50,WP_188209710.1 amylosucrase [Neisseria sp. KH1003-01],1,1
51,WP_070734817.1 MULTISPECIES: amylosucrase [unclassified Neisseria],1,1
52,MBF1301630.1 amylosucrase [Neisseria sp.],1,1
53,EER57152.1 amylosucrase [Neisseria flavescens SK114],1,1
54,WP_070460704.1 MULTISPECIES: amylosucrase [Neisseria],1,1
55,WP_070843443.1 amylosucrase [Neisseria sp. HMSC070H10],1,1
56,WP_070712914.1 amylosucrase [Neisseria sp. HMSC075C10],1,1
57,WP_070585340.1 amylosucrase [Neisseria sp. HMSC072C05],1,1
58,WP_049336122.1 MULTISPECIES: amylosucrase [Neisseria],1,1
59,WP_128581993.1 alpha-amylase family protein [Neisseria flavescens],1,1
60,WP_107697047.1 amylosucrase [Neisseria subflava],1,1
61,MBF1287335.1 amylosucrase [Neisseria sp.],1,1
62,WP_107769370.1 amylosucrase [Neisseria subflava],1,1
63,WP_107723217.1 amylosucrase [Neisseria subflava],1,1
64,WP_107848767.1 amylosucrase [Neisseria subflava],1,1
65,MBF1278130.1 amylosucrase [Neisseria sp.],1,1
66,WP_049333850.1 amylosucrase [Neisseria meningitidis],1,1
67,WP_107792025.1 alpha-amylase family protein [Neisseria subflava],1,1
68,WP_070625303.1 amylosucrase [Neisseria sp. HMSC063B05],1,1
69,WP_049328338.1 alpha-amylase family protein [Neisseria meningitidis],1,1
70,WP_070591289.1 amylosucrase [Neisseria sp. HMSC068C04],1,1
71,"MBF1282375.1 amylosucrase, partial [Neisseria sp.]",1,1
72,WP_060974389.1 MULTISPECIES: alpha-amylase family protein [Neisseria],1,1
73,WP_009311500.1 alpha-amylase family protein [Neisseria sp. GT4A_CT1],1,1
74,EGQ77289.1 amylosucrase [Neisseria macacae ATCC 33926],1,1
75,WP_107842954.1 alpha-amylase family protein [Neisseria sicca],1,1
76,WP_039862925.1 amylosucrase [Neisseria macacae],1,1
