,Accession,ncbi_AS_scores,ncbi_SH_scores,ncbi_diff_scores,ncbi_pred_class
1,WP_003751803.1,865.5,644.6,220.89999999999998,1
2,WP_118997230.1,862.1,642.4,219.70000000000005,1
3,WP_196428072.1,862.6,643.6,219.0,1
4,sp|Q84HD6.1|AMYS_NEIME,860.0,640.1,219.89999999999998,1
5,WP_025456983.1,862.2,642.4,219.80000000000007,1
6,pdb|1G5A|A,864.9,645.2,219.69999999999993,1
7,pdb|1MVY|A,859.6,636.8,222.80000000000007,1
8,pdb|3UEQ|A,864.9,645.1,219.79999999999995,1
9,WP_107863895.1,863.4,644.4,219.0,1
10,WP_107819638.1,863.9,645.2,218.69999999999993,1
11,WP_118820303.1,863.8,643.7,220.0999999999999,1
12,pdb|1JGI|A,858.9,637.2,221.69999999999993,1
13,pdb|4FLR|A,860.6,640.7,219.89999999999998,1
14,pdb|4FLS|A,854.5,636.2,218.29999999999995,1
15,pdb|4FLQ|A,860.1,640.4,219.70000000000005,1
16,pdb|4FLO|A,860.1,640.2,219.89999999999998,1
17,pdb|5N6V|A,860.0,640.3,219.70000000000005,1
18,WP_118792230.1,860.5,640.2,220.29999999999995,1
19,pdb|5N7J|A,852.4,637.8,214.60000000000002,1
20,WP_070695597.1,871.0,641.5,229.5,1
21,WP_107737442.1,872.0,644.5,227.5,1
22,MBF1278863.1,868.9,640.7,228.19999999999993,1
23,WP_070647130.1,868.1,641.6,226.5,1
24,WP_004520597.1,868.2,640.9,227.30000000000007,1
25,WP_070837897.1,869.0,640.4,228.60000000000002,1
26,WP_063075717.1,865.8,638.5,227.29999999999995,1
27,WP_049344812.1,869.4,641.3,228.10000000000002,1
28,WP_101755457.1,870.1,641.2,228.89999999999998,1
29,WP_036490796.1,870.5,641.0,229.5,1
30,WP_003746833.1,869.7,640.6,229.10000000000002,1
31,WP_188213966.1,869.8,641.2,228.5999999999999,1
32,MBF1350092.1,869.2,640.2,229.0,1
33,WP_070765497.1,866.5,637.3,229.20000000000005,1
34,WP_070826256.1,866.6,638.3,228.30000000000007,1
35,VTY05848.1,867.9,638.7,229.19999999999993,1
36,WP_070814054.1,867.1,637.4,229.70000000000005,1
37,WP_049349784.1,867.0,641.1,225.89999999999998,1
38,WP_063069011.1,867.3,636.9,230.39999999999998,1
39,WP_150537367.1,869.1,642.3,226.80000000000007,1
40,WP_049323224.1,867.4,640.8,226.60000000000002,1
41,WP_108699937.1,866.6,641.6,225.0,1
42,WP_107857064.1,867.4,639.7,227.69999999999993,1
43,WP_003679220.1,865.5,637.7,227.79999999999995,1
44,WP_188211705.1,869.1,640.6,228.5,1
45,WP_070850482.1,865.6,637.0,228.60000000000002,1
46,WP_070587669.1,866.7,642.0,224.70000000000005,1
47,WP_107867385.1,866.6,640.2,226.39999999999998,1
48,WP_114926186.1,865.1,640.4,224.70000000000005,1
49,WP_150540476.1,869.5,638.5,231.0,1
50,WP_188209710.1,861.5,636.2,225.29999999999995,1
51,WP_070734817.1,867.0,641.0,226.0,1
52,MBF1301630.1,867.7,640.3,227.4000000000001,1
53,EER57152.1,867.5,643.8,223.70000000000005,1
54,WP_070460704.1,865.5,639.1,226.39999999999998,1
55,WP_070843443.1,866.9,639.4,227.5,1
56,WP_070712914.1,865.7,641.9,223.80000000000007,1
57,WP_070585340.1,866.2,640.2,226.0,1
58,WP_049336122.1,862.2,637.1,225.10000000000002,1
59,WP_128581993.1,863.1,638.4,224.70000000000005,1
60,WP_107697047.1,864.2,639.5,224.70000000000005,1
61,MBF1287335.1,866.6,639.8,226.80000000000007,1
62,WP_107769370.1,862.5,636.1,226.39999999999998,1
63,WP_107723217.1,866.3,638.8,227.5,1
64,WP_107848767.1,866.0,639.1,226.89999999999998,1
65,MBF1278130.1,857.8,633.2,224.5999999999999,1
66,WP_049333850.1,862.1,637.2,224.89999999999998,1
67,WP_107792025.1,861.4,636.0,225.39999999999998,1
68,WP_070625303.1,861.7,636.7,225.0,1
69,WP_049328338.1,853.0,626.5,226.5,1
70,WP_070591289.1,868.3,639.7,228.5999999999999,1
71,MBF1282375.1,858.0,632.9,225.10000000000002,1
72,WP_060974389.1,870.9,643.2,227.69999999999993,1
73,WP_009311500.1,870.9,644.6,226.29999999999995,1
74,EGQ77289.1,870.5,642.7,227.79999999999995,1
75,WP_107842954.1,869.4,642.1,227.29999999999995,1
76,WP_039862925.1,870.6,642.9,227.70000000000005,1
77,WP_036491954.1,870.1,644.8,225.30000000000007,1
78,WP_049231138.1,870.5,642.6,227.89999999999998,1
79,WP_070680294.1,870.8,644.7,226.0999999999999,1
80,EIG29204.1,870.0,644.6,225.39999999999998,1
81,WP_080613974.1,870.5,646.6,223.89999999999998,1
82,WP_049227885.1,869.8,641.9,227.89999999999998,1
83,WP_203026504.1,870.8,642.7,228.0999999999999,1
84,MBF1294322.1,872.5,645.7,226.79999999999995,1
85,WP_039407260.1,870.9,642.9,228.0,1
86,WP_107826199.1,870.4,642.6,227.79999999999995,1
87,MBF1291829.1,869.8,641.0,228.79999999999995,1
88,WP_040668843.1,866.4,637.2,229.19999999999993,1
89,EET43598.1,866.2,637.0,229.20000000000005,1
90,WP_049227119.1,868.4,641.1,227.29999999999995,1
91,VTX50006.1,870.9,643.2,227.69999999999993,1
92,WP_165007935.1,857.9,641.2,216.69999999999993,1
93,WP_095502747.1,855.7,637.9,217.80000000000007,1
94,WP_165088438.1,856.0,639.5,216.5,1
95,WP_123803679.1,859.9,639.0,220.89999999999998,1
96,WP_096295239.1,859.0,638.1,220.89999999999998,1
97,KIC08099.1,871.4,643.0,228.39999999999998,1
98,WP_070689047.1,869.8,644.9,224.89999999999998,1
99,WP_045074367.1,869.5,645.6,223.89999999999998,1
100,WP_106742213.1,856.9,637.5,219.39999999999998,1
101,VTX79816.1,846.2,624.6,221.60000000000002,1
102,WP_070538739.1,866.6,639.4,227.20000000000005,1
103,WP_070773699.1,866.8,640.8,226.0,1
104,WP_101810667.1,866.6,641.1,225.5,1
105,WP_123794505.1,856.3,632.5,223.79999999999995,1
106,WP_070492521.1,862.3,637.7,224.5999999999999,1
107,WP_066076332.1,860.5,638.0,222.5,1
108,OHR40124.1,864.8,641.1,223.69999999999993,1
109,WP_070655869.1,867.9,643.3,224.60000000000002,1
110,OHR43505.1,864.7,641.1,223.60000000000002,1
111,WP_070603044.1,864.2,637.7,226.5,1
112,WP_039855958.1,865.4,642.0,223.39999999999998,1
